Gene.stable.ID	Gene.name
ENSCHAG00000024302	mr1
ENSCHAG00000024309	mr1
ENSCHAG00000024312	psmb12
ENSCHAG00000024318	mr1
ENSCHAG00000024340	mr1
ENSCHAG00000024343	psmb13a
ENSCHAG00000024346	patr-a
ENSCHAG00000024354	mr1
ENSCHAG00000024397	hla-a
ENSCHAG00000024663	mr1
ENSCHAG00000024670	hsc70
ENSCHAG00000024674	hsc71
ENSCHAG00000024680	TTF2
ENSCHAG00000024742	hsc71
ENSCHAG00000024749	hspa12a
ENSCHAG00000024758	hspa12a
ENSCHAG00000024786	
ENSCHAG00000024790	
ENSCHAG00000024820	igkv3-7
ENSCHAG00000024844	rps19
ENSCHAG00000024852	caprin2
ENSCHAG00000024857	tapbp.2
ENSCHAG00000024898	psmb9
ENSCHAG00000024914	
ENSCHAG00000024931	rent1
ENSCHAG00000024935	helz
ENSCHAG00000024975	mrc2
ENSCHAG00000025025	abcg2a
ENSCHAG00000025094	vtcn1
ENSCHAG00000025108	cip2a
ENSCHAG00000025197	sacs
ENSCHAG00000025657	fastkd1
ENSCHAG00000025672	endod1
ENSCHAG00000025678	endod1
ENSCHAG00000025767	itgal
ENSCHAG00000025786	itgal
ENSCHAG00000025849	DIAPH1
ENSCHAG00000025893	rpgrip1
ENSCHAG00000025899	ttn
ENSCHAG00000026015	cdhr1
ENSCHAG00000026593	gin1
ENSCHAG00000026694	gimap2
ENSCHAG00000026708	rps19
ENSCHAG00000026711	
ENSCHAG00000026763	rtl1
ENSCHAG00000027020	fbrsl1
ENSCHAG00000027583	
