Gene.stable.ID	Gene.name
ENSCHAG00000003498	gimap9
ENSCHAG00000003508	nlrp1
ENSCHAG00000003516	
ENSCHAG00000003544	card18
ENSCHAG00000003559	
ENSCHAG00000003589	
ENSCHAG00000003603	
ENSCHAG00000003627	nlrp1
ENSCHAG00000003644	
ENSCHAG00000003654	rnh1
ENSCHAG00000003669	gimap9
ENSCHAG00000003683	zmym1
ENSCHAG00000003687	ighv3-66
ENSCHAG00000003708	nlrc5
ENSCHAG00000003711	
ENSCHAG00000003744	il1rapl1a
ENSCHAG00000003750	
ENSCHAG00000003754	gimap9
ENSCHAG00000003792	
ENSCHAG00000003802	nlrp1
ENSCHAG00000003813	
ENSCHAG00000003821	gbp1
ENSCHAG00000003836	si:dkey-211g8.4
ENSCHAG00000003840	mrc1
ENSCHAG00000003847	ifi44
ENSCHAG00000003859	ighv3-30-3
ENSCHAG00000003881	nlrp1
ENSCHAG00000003884	
ENSCHAG00000003885	caprin2
ENSCHAG00000003891	pigr
ENSCHAG00000003893	
ENSCHAG00000003912	gimap9
ENSCHAG00000003924	si:dkey-211g8.4
ENSCHAG00000003931	gimap9
ENSCHAG00000003944	ighv3-38-3
ENSCHAG00000003948	trim29
ENSCHAG00000003958	nlrp1
ENSCHAG00000003963	slc12a10.3
ENSCHAG00000003971	gimap9
ENSCHAG00000003987	nlrc5
ENSCHAG00000003996	ighv3-48
ENSCHAG00000004013	ervv-1
ENSCHAG00000004032	clec4e
ENSCHAG00000004047	ifi44
ENSCHAG00000004049	atp5mk
ENSCHAG00000004051	gimap8
ENSCHAG00000004056	loxl3a
ENSCHAG00000004073	gimap8
ENSCHAG00000004093	colec11
ENSCHAG00000004111	rnh1
ENSCHAG00000004137	gimap8
ENSCHAG00000004165	adgrl4
ENSCHAG00000004188	loxl3a
ENSCHAG00000004203	drl
ENSCHAG00000004233	adgrl4
ENSCHAG00000004266	
ENSCHAG00000004277	trav19
ENSCHAG00000004304	trav12-3
ENSCHAG00000004334	trav6
ENSCHAG00000004335	adgrl4
ENSCHAG00000004355	trav9-2
ENSCHAG00000004368	
ENSCHAG00000004409	trav7
ENSCHAG00000004428	rnf213a
ENSCHAG00000004449	prdm9
ENSCHAG00000004485	trav38-2dv8
ENSCHAG00000004495	mfsd11
ENSCHAG00000004514	trav9-1
ENSCHAG00000004517	colec12
ENSCHAG00000004530	
ENSCHAG00000004549	gbp1
ENSCHAG00000004552	adgrg6
ENSCHAG00000004554	trav19
ENSCHAG00000004586	trav3
ENSCHAG00000004594	gbp1
ENSCHAG00000004633	trav6
ENSCHAG00000004670	pdia8
ENSCHAG00000004678	trav6
ENSCHAG00000004741	trav12-2
ENSCHAG00000004778	gbp1
ENSCHAG00000004781	
ENSCHAG00000004802	igkv1-13
ENSCHAG00000004808	trav26-1
ENSCHAG00000004842	
ENSCHAG00000004871	
ENSCHAG00000004881	tradv22.0
ENSCHAG00000004897	cd300a
ENSCHAG00000004899	
ENSCHAG00000004906	tradv31.0
ENSCHAG00000004922	pigr
ENSCHAG00000004928	trav17
ENSCHAG00000004936	cd274
ENSCHAG00000004947	iglv2-14
ENSCHAG00000004976	cd300lg
ENSCHAG00000004977	trav26-1
ENSCHAG00000004978	psmg3
ENSCHAG00000004984	
ENSCHAG00000005016	trav9-1
ENSCHAG00000005018	pigr
ENSCHAG00000005019	drl
ENSCHAG00000005049	trav40
ENSCHAG00000005058	pdcd1lg2
ENSCHAG00000005110	cd274
ENSCHAG00000005114	pibf1
ENSCHAG00000005116	
ENSCHAG00000005133	trav38-2dv8
ENSCHAG00000005148	tvp23b
ENSCHAG00000005159	vpreb1
ENSCHAG00000005179	
ENSCHAG00000005197	trav9-1
ENSCHAG00000005200	
ENSCHAG00000005248	trav4
ENSCHAG00000005270	
ENSCHAG00000005288	cd300c
ENSCHAG00000005293	trav19
ENSCHAG00000005300	tvp23b
ENSCHAG00000005333	
ENSCHAG00000005342	
ENSCHAG00000005353	
ENSCHAG00000005371	trav2
