Gene stable ID	GO term accession
ENSCHAG00000000096	GO:0000976
ENSCHAG00000000096	GO:0003677
ENSCHAG00000000096	GO:0046982
ENSCHAG00000000096	GO:0006351
ENSCHAG00000000096	GO:0006355
ENSCHAG00000000096	GO:0045893
ENSCHAG00000000096	GO:0005667
ENSCHAG00000000097	GO:0046872
ENSCHAG00000000098	GO:0007420
ENSCHAG00000000098	GO:0005509
ENSCHAG00000000099	GO:0007507
ENSCHAG00000000099	GO:0030054
ENSCHAG00000000099	GO:0030036
ENSCHAG00000000099	GO:0003779
ENSCHAG00000000100	GO:0030036
ENSCHAG00000000100	GO:0003779
ENSCHAG00000000101	GO:0005179
ENSCHAG00000000101	GO:0005576
ENSCHAG00000000101	GO:0033555
ENSCHAG00000000101	GO:0043066
ENSCHAG00000000101	GO:0050801
ENSCHAG00000000102	GO:0006486
ENSCHAG00000000102	GO:0016020
ENSCHAG00000000105	GO:0089701
ENSCHAG00000000105	GO:0000398
ENSCHAG00000000105	GO:0003723
ENSCHAG00000000105	GO:0046872
ENSCHAG00000000105	GO:0003676
ENSCHAG00000000109	GO:0009416
ENSCHAG00000000109	GO:0030431
ENSCHAG00000000109	GO:0043025
ENSCHAG00000000109	GO:0005179
ENSCHAG00000000109	GO:0005576
ENSCHAG00000000111	GO:0005525
ENSCHAG00000000113	
ENSCHAG00000000114	GO:0007420
ENSCHAG00000000114	GO:0001756
ENSCHAG00000000114	GO:0007219
ENSCHAG00000000114	GO:0046983
ENSCHAG00000000115	
ENSCHAG00000000116	GO:0005515
ENSCHAG00000000117	GO:1990423
ENSCHAG00000000117	GO:0007093
ENSCHAG00000000118	GO:0055114
ENSCHAG00000000119	GO:0004860
ENSCHAG00000000120	
ENSCHAG00000000121	
ENSCHAG00000000122	GO:0046872
ENSCHAG00000000122	GO:0008270
ENSCHAG00000000124	GO:0016567
ENSCHAG00000000124	GO:0006996
ENSCHAG00000000124	GO:0004842
ENSCHAG00000000125	
ENSCHAG00000000127	GO:0008270
ENSCHAG00000000127	GO:0005515
ENSCHAG00000000128	GO:0006355
ENSCHAG00000000129	
ENSCHAG00000000130	GO:0007186
ENSCHAG00000000130	GO:0004930
ENSCHAG00000000130	GO:0016021
ENSCHAG00000000131	GO:0004129
ENSCHAG00000000132	GO:0035556
ENSCHAG00000000132	GO:1902412
ENSCHAG00000000132	GO:0008017
ENSCHAG00000000133	GO:0005833
ENSCHAG00000000133	GO:0015671
ENSCHAG00000000133	GO:0020037
ENSCHAG00000000133	GO:0019825
ENSCHAG00000000134	GO:0005515
ENSCHAG00000000136	GO:0001944
ENSCHAG00000000137	GO:0016070
ENSCHAG00000000137	GO:0003697
ENSCHAG00000000137	GO:0003723
ENSCHAG00000000137	GO:0043565
ENSCHAG00000000138	GO:0004674
ENSCHAG00000000138	GO:0006468
ENSCHAG00000000138	GO:0004672
ENSCHAG00000000138	GO:0005524
ENSCHAG00000000139	GO:0005515
ENSCHAG00000000141	
ENSCHAG00000000142	GO:0005975
ENSCHAG00000000142	GO:0004553
ENSCHAG00000000143	GO:0008270
ENSCHAG00000000143	GO:0005515
ENSCHAG00000000144	GO:0005515
ENSCHAG00000000145	GO:0005506
ENSCHAG00000000145	GO:0005833
ENSCHAG00000000145	GO:0015671
ENSCHAG00000000145	GO:0020037
ENSCHAG00000000145	GO:0019825
ENSCHAG00000000146	
ENSCHAG00000000147	
ENSCHAG00000000149	GO:0006508
ENSCHAG00000000149	GO:0004252
ENSCHAG00000000150	GO:0006699
ENSCHAG00000000150	GO:0031957
ENSCHAG00000000150	GO:0015245
ENSCHAG00000000150	GO:0004467
ENSCHAG00000000150	GO:0016021
ENSCHAG00000000151	
ENSCHAG00000000152	GO:0046872
ENSCHAG00000000153	
ENSCHAG00000000154	
ENSCHAG00000000155	GO:0008270
ENSCHAG00000000155	GO:0005515
ENSCHAG00000000156	
ENSCHAG00000000157	GO:0005515
ENSCHAG00000000158	GO:0005833
ENSCHAG00000000158	GO:0015671
ENSCHAG00000000158	GO:0020037
ENSCHAG00000000158	GO:0019825
ENSCHAG00000000159	
ENSCHAG00000000160	GO:0005634
ENSCHAG00000000160	GO:0006384
ENSCHAG00000000160	GO:0006366
ENSCHAG00000000161	GO:0008081
ENSCHAG00000000161	GO:0004114
ENSCHAG00000000161	GO:0007165
ENSCHAG00000000162	GO:0004674
ENSCHAG00000000162	GO:0006468
ENSCHAG00000000162	GO:0004672
ENSCHAG00000000162	GO:0005524
ENSCHAG00000000163	GO:0007409
ENSCHAG00000000163	GO:0007528
ENSCHAG00000000163	GO:0019896
ENSCHAG00000000163	GO:0030097
ENSCHAG00000000163	GO:0005739
ENSCHAG00000000163	GO:0048662
ENSCHAG00000000163	GO:0005741
ENSCHAG00000000163	GO:0008053
ENSCHAG00000000163	GO:0005525
ENSCHAG00000000163	GO:0003924
ENSCHAG00000000163	GO:0016021
ENSCHAG00000000165	GO:0016787
ENSCHAG00000000165	GO:0072015
ENSCHAG00000000166	
ENSCHAG00000000167	GO:0032039
ENSCHAG00000000167	GO:0034474
ENSCHAG00000000168	GO:0001525
ENSCHAG00000000168	GO:0043534
ENSCHAG00000000168	GO:0005085
ENSCHAG00000000169	GO:0003676
ENSCHAG00000000170	
ENSCHAG00000000171	GO:0005634
ENSCHAG00000000171	GO:0003723
ENSCHAG00000000171	GO:0003676
ENSCHAG00000000172	
ENSCHAG00000000173	GO:0001568
ENSCHAG00000000173	GO:0001570
ENSCHAG00000000173	GO:0001946
ENSCHAG00000000173	GO:0060840
ENSCHAG00000000176	
ENSCHAG00000000176	GO:0070527
ENSCHAG00000000177	GO:0005833
ENSCHAG00000000177	GO:0015671
ENSCHAG00000000177	GO:0020037
ENSCHAG00000000177	GO:0019825
ENSCHAG00000000178	GO:0045893
ENSCHAG00000000178	GO:0010508
ENSCHAG00000000179	
ENSCHAG00000000180	
ENSCHAG00000000181	GO:0003676
ENSCHAG00000000182	GO:0003824
ENSCHAG00000000183	
ENSCHAG00000000184	GO:0046872
ENSCHAG00000000185	
ENSCHAG00000000188	GO:0035102
ENSCHAG00000000189	GO:0046872
ENSCHAG00000000190	
ENSCHAG00000000192	GO:0005506
ENSCHAG00000000192	GO:0005833
ENSCHAG00000000192	GO:0015671
ENSCHAG00000000192	GO:0020037
ENSCHAG00000000192	GO:0019825
ENSCHAG00000000193	GO:0005515
ENSCHAG00000000194	
ENSCHAG00000000195	GO:0005200
ENSCHAG00000000195	GO:0005874
ENSCHAG00000000195	GO:0007017
ENSCHAG00000000195	GO:0005525
ENSCHAG00000000195	GO:0003924
ENSCHAG00000000196	GO:0003261
ENSCHAG00000000196	GO:0007507
ENSCHAG00000000196	GO:0008078
ENSCHAG00000000196	GO:0022408
ENSCHAG00000000196	GO:0042074
ENSCHAG00000000196	GO:0048920
ENSCHAG00000000196	GO:0060975
ENSCHAG00000000198	GO:0005739
ENSCHAG00000000199	GO:0045596
ENSCHAG00000000199	GO:0030514
ENSCHAG00000000200	GO:0006508
ENSCHAG00000000200	GO:0004252
ENSCHAG00000000201	
ENSCHAG00000000202	GO:0005515
ENSCHAG00000000203	GO:0005200
ENSCHAG00000000203	GO:0005874
ENSCHAG00000000203	GO:0007017
ENSCHAG00000000203	GO:0005525
ENSCHAG00000000203	GO:0003924
ENSCHAG00000000204	GO:0006468
ENSCHAG00000000204	GO:0004672
ENSCHAG00000000204	GO:0005524
ENSCHAG00000000205	GO:0003810
ENSCHAG00000000205	GO:0018149
ENSCHAG00000000206	GO:0001889
ENSCHAG00000000206	GO:0031017
ENSCHAG00000000206	GO:0048565
